,home_team,away_team,home_odds,away_odds
0,Arsenal,Everton,0.7352941176470588,0.12594458438287154
1,Burnley,West Ham,0.4329004329004329,0.3164556962025316
2,Chelsea,Sunderland,0.9090909090909091,0.03944773175542406
3,Hull,Spurs,0.10775862068965518,0.7633587786259541
4,Leicester,Bournemouth,0.5882352941176471,0.2173913043478261
5,Liverpool,Middlesbrough,0.8849557522123894,0.046707146193367584
6,Manchester Utd,Crystal Palace,0.4329004329004329,0.3067484662576687
7,Southampton,Stoke,0.6097560975609756,0.18832391713747648
8,Swansea,West Brom,0.4385964912280702,0.303951367781155
9,Watford,Manchester City,0.056369785794813984,0.8695652173913044
10,Leicester,Spurs,0.24271844660194175,0.53475935828877
11,Southampton,Manchester Utd,0.42016806722689076,0.30864197530864196
12,Manchester City,West Brom,0.8695652173913044,0.05221932114882507
13,Arsenal,Sunderland,0.9009009009009008,0.044662795891022775
14,Chelsea,Watford,0.78125,0.09337068160597571
15,Spurs,Manchester Utd,0.6060606060606061,0.17094017094017094
16,West Ham,Liverpool,0.17152658662092624,0.6134969325153374
17,Crystal Palace,Hull,0.5181347150259068,0.23696682464454977
18,Stoke,Arsenal,0.1923076923076923,0.6024096385542169
19,Bournemouth,Burnley,0.5464480874316939,0.22779043280182235
20,Middlesbrough,Southampton,0.2597402597402597,0.4854368932038835
21,Sunderland,Swansea,0.2976190476190476,0.45454545454545453
22,Manchester City,Leicester,0.819672131147541,0.07980845969672785
23,West Brom,Chelsea,0.10482180293501049,0.7352941176470588
24,Everton,Watford,0.6993006993006994,0.1251564455569462
25,Southampton,Arsenal,0.29325513196480935,0.4716981132075471
26,Chelsea,Middlesbrough,0.8771929824561404,0.04625346901017576
27,Arsenal,Manchester Utd,0.4716981132075471,0.27548209366391185
28,Liverpool,Southampton,0.6329113924050632,0.16233766233766234
29,Swansea,Everton,0.3952569169960475,0.3436426116838488
30,Bournemouth,Stoke,0.4273504273504274,0.31347962382445144
31,Burnley,West Brom,0.39370078740157477,0.30864197530864196
32,Hull,Sunderland,0.6493506493506493,0.1564945226917058
33,Leicester,Watford,0.6060606060606061,0.1669449081803005
34,Manchester City,Crystal Palace,0.8,0.08741258741258742
35,West Ham,Spurs,0.12180267965895249,0.7142857142857143
36,Watford,Liverpool,0.1733102253032929,0.6211180124223602
37,Spurs,Arsenal,0.5555555555555556,0.2293577981651376
38,Everton,Chelsea,0.2247191011235955,0.5376344086021505
39,Middlesbrough,Manchester City,0.08547008547008547,0.78125
40,Manchester Utd,Swansea,0.7042253521126761,0.11441647597254004
41,Crystal Palace,Burnley,0.5494505494505494,0.1953125
42,Southampton,Hull,0.6369426751592356,0.15772870662460567
43,Stoke,West Ham,0.49751243781094534,0.24271844660194175
44,Sunderland,Bournemouth,0.2976190476190476,0.4566210045662101
45,West Brom,Leicester,0.3623188405797102,0.3623188405797102
46,Manchester City,Manchester Utd,0.5154639175257733,0.2222222222222222
47,Crystal Palace,Spurs,0.1718213058419244,0.6329113924050632
48,Arsenal,Leicester,0.684931506849315,0.14684287812041116
49,Middlesbrough,Sunderland,0.4608294930875576,0.2785515320334262
50,Chelsea,Southampton,0.6896551724137931,0.1277139208173691
51,Liverpool,Crystal Palace,0.6622516556291391,0.13986013986013984
52,Burnley,Manchester Utd,0.17953321364452424,0.5681818181818182
53,Bournemouth,Middlesbrough,0.5376344086021505,0.22675736961451246
54,Hull,Watford,0.5319148936170213,0.2252252252252252
