,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
0,1,Özil,1,,70,1439,Arsenal,Mesut,Özil,MesutÖzil,Mesut_Özil_13,Mesut_Özil_13,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Mesut_%C3%96zil_13,2018-19,89
1,1,Sokratis,2,,50,1696,Arsenal,Sokratis,Papastathopoulos,SokratisPapastathopoulos,Sokratis_Papastathopoulos_12,Sokratis_Papastathopoulos_12,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Sokratis_Papastathopoulos_12,2018-19,96
2,1,David Luiz,3,,55,2809,Arsenal,David,Luiz Moreira Marinho,DavidLuiz Moreira Marinho,David_Luiz Moreira Marinho_116,David_Luiz Moreira Marinho_116,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/David_Luiz%20Moreira%20Marinho_116,2018-19,96
3,1,Aubameyang,4,,120,3136,Arsenal,Pierre-Emerick,Aubameyang,Pierre-EmerickAubameyang,Pierre-Emerick_Aubameyang_23,Pierre-Emerick_Aubameyang_23,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Pierre-Emerick_Aubameyang_23,2018-19,96
4,1,Cédric,5,,50,1553,Arsenal,Cédric,Soares,CédricSoares,Cédric_Soares_332,Cédric_Soares_332,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/C%C3%A9dric_Soares_332,2018-19,92
5,1,Lacazette,6,,85,1867,Arsenal,Alexandre,Lacazette,AlexandreLacazette,Alexandre_Lacazette_22,Alexandre_Lacazette_22,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Alexandre_Lacazette_22,2018-19,94
6,1,Mustafi,7,0.0,50,1205,Arsenal,Shkodran,Mustafi,ShkodranMustafi,Shkodran_Mustafi_7,Shkodran_Mustafi_7,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Shkodran_Mustafi_7,2018-19,93
7,1,Leno,8,,50,2649,Arsenal,Bernd,Leno,BerndLeno,Bernd_Leno_2,Bernd_Leno_2,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Bernd_Leno_2,2018-19,89
8,1,Xhaka,9,,55,2586,Arsenal,Granit,Xhaka,GranitXhaka,Granit_Xhaka_17,Granit_Xhaka_17,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Granit_Xhaka_17,2018-19,91
10,1,Bellerín,11,,50,1156,Arsenal,Héctor,Bellerín,HéctorBellerín,Héctor_Bellerín_4,Héctor_Bellerín_4,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/H%C3%A9ctor_Beller%C3%ADn_4,2018-19,93
11,1,Martínez,12,,45,770,Arsenal,Emiliano,Martínez,EmilianoMartínez,Emiliano_Martínez_542,Emiliano_Martínez_542,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Emiliano_Mart%C3%ADnez_542,2018-19,94
12,1,Chambers,13,0.0,45,1102,Arsenal,Calum,Chambers,CalumChambers,Calum_Chambers_9,Calum_Chambers_9,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Calum_Chambers_9,2018-19,92
13,1,Kolasinac,14,,50,1694,Arsenal,Sead,Kolasinac,SeadKolasinac,Sead_Kolasinac_8,Sead_Kolasinac_8,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Sead_Kolasinac_8,2018-19,92
14,1,Maitland-Niles,15,,50,1382,Arsenal,Ainsley,Maitland-Niles,AinsleyMaitland-Niles,Ainsley_Maitland-Niles_20,Ainsley_Maitland-Niles_20,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Ainsley_Maitland-Niles_20,2018-19,95
15,1,Holding,16,,45,580,Arsenal,Rob,Holding,RobHolding,Rob_Holding_6,Rob_Holding_6,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Rob_Holding_6,2018-19,90
18,1,Torreira,19,,50,1501,Arsenal,Lucas,Torreira,LucasTorreira,Lucas_Torreira_450,Lucas_Torreira_450,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Lucas_Torreira_450,2018-19,92
19,1,Willock,20,,50,838,Arsenal,Joseph,Willock,JosephWillock,Joseph_Willock_566,Joseph_Willock_566,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Joseph_Willock_566,2018-19,92
20,1,Nelson,21,,55,622,Arsenal,Reiss,Nelson,ReissNelson,Reiss_Nelson_19,Reiss_Nelson_19,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Reiss_Nelson_19,2018-19,91
21,1,Nketiah,22,,60,628,Arsenal,Edward,Nketiah,EdwardNketiah,Edward_Nketiah_552,Edward_Nketiah_552,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Edward_Nketiah_552,2018-19,92
22,1,Smith Rowe,23,,45,96,Arsenal,Emile,Smith Rowe,EmileSmith Rowe,Emile_Smith-Rowe_545,Emile_Smith-Rowe_545,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Emile_Smith-Rowe_545,2018-19,87
23,1,Saka,24,,55,1746,Arsenal,Bukayo,Saka,BukayoSaka,Bukayo_Saka_563,Bukayo_Saka_563,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Bukayo_Saka_563,2018-19,90
24,1,Guendouzi,25,,50,1744,Arsenal,Matteo,Guendouzi,MatteoGuendouzi,Matteo_Guendouzi_451,Matteo_Guendouzi_451,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Matteo_Guendouzi_451,2018-19,93
25,1,Willian,478,,80,2595,Arsenal,Willian,Borges Da Silva,WillianBorges Da Silva,Willian_Borges Da Silva_124,Willian_Borges Da Silva_124,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Willian_Borges%20Da%20Silva_124,2018-19,95
26,2,Heaton,28,0.0,45,1794,Aston Villa,Tom,Heaton,TomHeaton,Tom_Heaton_67,Tom_Heaton_67,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Tom_Heaton_67,2018-19,89
29,2,Hause,39,,45,1544,Aston Villa,Kortney,Hause,KortneyHause,Kortney_Hause_525,Kortney_Hause_525,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Kortney_Hause_525,2018-19,92
31,2,Mings,41,,50,2902,Aston Villa,Tyrone,Mings,TyroneMings,Tyrone_Mings_30,Tyrone_Mings_30,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Tyrone_Mings_30,2018-19,91
